2,0.0,134110
100,0.0,590239
200,0.0,1153307
300,0.0666666666667,1683805
400,0.1,2104955
500,0.166666666667,2939319
600,0.3,3472212
700,0.4,3965762
800,0.4,4348138
900,0.733333333333,5685108
1000,0.6,5270545
1100,0.966666666667,5740367
1200,1.26666666667,8211016
1300,1.53333333333,8144464
1400,1.13333333333,6835766
1500,2.0,8474156
1600,1.76666666667,8304321
1700,2.36666666667,9533174
1800,3.26666666667,12332125
1900,2.63333333333,10964910
2000,4.06666666667,12464834
2100,4.23333333333,14287202
2200,3.63333333333,13623390
2300,5.13333333333,17027194
2400,6.73333333333,17734663
2500,6.53333333333,15520659
2600,7.06666666667,17638406
2700,8.36666666667,19861425
2800,8.46666666667,18986249
2900,10.2,21342707
3000,8.83333333333,19472262
3100,8.53333333333,20988973
3200,10.6666666667,20754854
3300,12.0333333333,22447173
3400,15.0333333333,25059064
3500,14.9333333333,25929036
3600,14.1666666667,24378718
3700,14.8333333333,27257740
3800,13.5,25752379
3900,13.0666666667,21226018
4000,18.7666666667,27161025
4100,18.9666666667,27834636
4200,12.4666666667,24015843
4300,17.2333333333,26875189
4400,23.0333333333,32365845
4500,21.1333333333,33172773
4600,11.3333333333,21604291
4700,29.3666666667,34568174
4800,24.9666666667,32525168
4900,25.8,33163740
5000,31.1666666667,33781593
5100,29.6,37489409
5200,23.7,35066036
5300,26.4666666667,35746463
5400,27.6666666667,36458743
5500,29.3666666667,34250713
5600,34.0,41205197
5700,42.7333333333,41758691
5800,40.5333333333,39116519
5900,33.6333333333,39780609
6000,38.0333333333,44073287
6100,40.0666666667,41226526
6200,42.8333333333,45435656
6300,52.1333333333,46183028
6400,40.7333333333,43233343
6500,42.7666666667,40023496
6600,45.0333333333,41708551
6700,61.2666666667,49206729
6800,55.6666666667,49989159
6900,51.6666666667,42600054
7000,45.5666666667,44322879
7100,54.6,48098581
7200,46.0,48783544
7300,53.6333333333,45634923
7400,65.2666666667,54404929
7500,56.9666666667,48538399
7600,62.2666666667,55893737
7700,64.4,56548663
7800,69.8,57417858
7900,72.8,58137706
8000,72.3666666667,58940490
8100,71.7333333333,59641650
8200,77.4,60204155
8300,84.8333333333,61139813
8400,80.1666666667,61727050
8500,78.1333333333,57337908
8600,79.5,58089540
8700,64.5333333333,51053668
8800,92.3666666667,64632726
8900,96.3333333333,65448715
9000,81.4,60828053
9100,78.8,61395783
9200,83.8666666667,62004521
9300,101.866666667,68282511
9400,83.2333333333,59194413
9500,87.1,64078537
9600,88.2333333333,64774662
9700,119.166666667,71014492
9800,111.566666667,71905518
9900,119.9,66627589
10000,102.033333333,73536742
